group_faction	id_item_name	id_item_uiid	rate	range_min	range_max	expected_num	expected_gv
Any	Prophet's  Blessing	T1XX-20	1	10	30	=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Hero Shard	T1XX-40001	0.07	10	20	=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Grumpy Corpse	T4F1-4101	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Gbagbo	T4F1-4102	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Bonecarver	T4F1-4103	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Glen	T4F1-4104	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Nightmare Knight	T4F1-4105	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Bone General	T4F1-4106	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Lamb	T4F1-4107	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	4* Deathsworn	T4F1-4108	0.075			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Hero Shard	T1XX-40002	0.24	7	18	=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Blood Blade	T4F1-5102	0.00233			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Corpsedemon	T4F1-5106	0.00233			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Kamath	T4F1-5108	0.00233			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Jahra	T4F1-5111	0.00233			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Horus	T4F1-5112	0.00234			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Gustin	T4F1-5113	0.00234			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Kharma	T4F1-5101	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Dominator	T4F1-5103	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Lutz	T4F1-5104	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Field	T4F1-5105	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Baade	T4F1-5107	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Aidan	T4F1-5109	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
Shadow	5* Walter	T4F1-5110	0.004			=IF(RC[-2]>0,AVERAGE(RC[-2]:RC[-1]),1)	"=IFERROR(VLOOKUP(RC[-5],Items!C4:C8,5,0)*RC[-1]*RC[-4],"""")"
